City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
132,Longyearbyen,SJ,78.22,15.64,44.6,61,100,11.41,overcast clouds,0.0,0.0
133,Victoria,HK,22.29,114.16,89.01,74,99,7.0,overcast clouds,0.0,0.0
134,Buraydah,SA,26.33,43.98,84.2,30,0,3.36,clear sky,0.0,0.0
135,Thompson,CA,55.74,-97.86,68.0,72,40,16.11,scattered clouds,0.0,0.0
136,Christchurch,NZ,-43.53,172.63,44.01,87,100,20.8,light rain,0.76,0.0
137,Severodvinsk,RU,64.56,39.83,59.0,62,40,8.95,scattered clouds,0.0,0.0
138,Dingle,PH,11.0,122.67,86.85,64,66,4.59,broken clouds,0.0,0.0
139,Mabaruma,GY,8.2,-59.78,74.37,93,0,3.76,clear sky,0.0,0.0
140,Klaksvik,FO,62.23,-6.59,42.8,87,100,11.41,light rain,0.0,0.0
141,Itaituba,BR,-4.28,-55.98,75.97,84,50,1.68,scattered clouds,0.0,0.0
142,Kodiak,US,57.79,-152.41,57.2,71,1,4.7,clear sky,0.0,0.0
143,Chuy,UY,-33.7,-53.46,55.27,93,100,13.62,light rain,0.15,0.0
144,Saint-Georges,GD,12.06,-61.75,78.8,88,20,4.7,few clouds,0.0,0.0
145,Port Blair,IN,11.67,92.75,83.07,79,100,15.41,overcast clouds,0.0,0.0
146,Bairiki,KI,1.33,172.98,87.8,66,20,6.93,few clouds,0.0,0.0
147,Lorengau,PG,-2.02,147.27,86.2,63,30,6.58,scattered clouds,0.0,0.0
148,Taihe,CN,30.87,105.38,75.2,90,100,5.86,moderate rain,3.23,0.0
149,Pevek,RU,69.7,170.31,37.35,87,100,10.87,overcast clouds,0.0,0.0
150,San Carlos De Bariloche,AR,-41.15,-71.31,36.0,80,75,12.75,broken clouds,0.0,0.0
151,Qasigiannguit,GL,68.82,-51.19,44.6,70,100,2.24,overcast clouds,0.0,0.0
152,Alenquer,BR,-1.94,-54.74,80.6,88,75,12.75,thunderstorm,0.0,0.0
153,Taoudenni,ML,22.68,-3.98,93.51,11,0,8.41,clear sky,0.0,0.0
154,Flin Flon,CA,54.77,-101.86,62.26,83,99,10.89,overcast clouds,0.0,0.0
155,Asfi,MA,32.3,-9.24,68.92,81,0,11.52,clear sky,0.0,0.0
156,Novikovo,RU,51.15,37.89,62.13,89,23,5.44,moderate rain,1.21,0.0
157,Puerto Madero,MX,14.72,-92.42,77.0,94,75,2.24,broken clouds,0.0,0.0
158,Guerrero Negro,MX,27.98,-114.06,67.46,70,0,15.97,clear sky,0.0,0.0
159,Vilhena,BR,-12.74,-60.15,69.57,78,8,2.33,clear sky,0.0,0.0
160,Hamilton,US,39.18,-84.53,77.0,94,1,3.36,clear sky,0.0,0.0
161,Pacific Grove,US,36.62,-121.92,62.6,72,1,9.17,clear sky,0.0,0.0
162,Lyubim,RU,58.36,40.68,53.22,96,100,9.57,moderate rain,2.83,0.0
163,Faanui,PF,-16.48,-151.75,77.99,74,10,24.54,clear sky,0.0,0.0
164,Hohhot,CN,40.81,111.65,73.4,56,64,4.47,broken clouds,0.0,0.0
165,Barra Do Garcas,BR,-15.89,-52.26,69.3,62,99,1.45,overcast clouds,0.0,0.0
166,Mezen,RU,65.85,44.24,54.99,62,32,13.82,scattered clouds,0.0,0.0
167,Surt,LY,31.21,16.59,71.2,76,0,0.67,clear sky,0.0,0.0
168,Hualmay,PE,-11.1,-77.61,60.22,83,61,8.08,broken clouds,0.0,0.0
169,Srednekolymsk,RU,67.45,153.68,61.21,37,2,12.08,clear sky,0.0,0.0
170,Egvekinot,RU,66.32,-179.17,37.49,94,100,8.86,light rain,0.9,0.0
171,Huarmey,PE,-10.07,-78.15,60.82,84,74,7.23,broken clouds,0.0,0.0
172,Roald,NO,62.58,6.13,48.2,76,97,16.11,light rain,0.18,0.0
173,Tuatapere,NZ,-46.13,167.68,44.73,78,97,3.06,overcast clouds,0.0,0.0
174,Lebu,CL,-37.62,-73.65,51.28,93,100,23.35,moderate rain,1.66,0.0
175,Torbay,CA,47.67,-52.73,68.0,94,90,18.34,overcast clouds,0.0,0.0
