City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Jos,NG,2020-06-24 19:34:30,9.92,8.9,69.55,86,49,3.24
121,Deputatskiy,RU,2020-06-24 19:34:30,69.3,139.9,69.58,43,0,2.59
122,Dongying,CN,2020-06-24 19:34:30,37.46,118.49,68.77,76,24,3.58
123,Faanui,PF,2020-06-24 19:34:30,-16.48,-151.75,79.38,84,6,11.52
124,Makakilo City,US,2020-06-24 19:34:30,21.35,-158.09,82.4,58,40,4.7
125,Novoulyanovsk,RU,2020-06-24 19:34:30,54.15,48.39,62.6,59,75,15.66
126,Roma,US,2020-06-24 19:34:30,43.21,-75.46,77.0,41,90,13.87
127,Iracoubo,GF,2020-06-24 19:34:30,5.48,-53.2,81.88,77,3,8.93
128,Namibe,AO,2020-06-24 19:34:30,-15.2,12.15,68.94,64,0,6.64
129,Beyneu,KZ,2020-06-24 19:34:31,45.32,55.2,78.85,18,0,17.27
130,Saint George,US,2020-06-24 19:34:25,37.1,-113.58,102.0,9,1,6.93
131,Nurota,UZ,2020-06-24 19:34:31,40.56,65.69,84.2,16,0,9.17
132,Bhusawal,IN,2020-06-24 19:34:31,21.05,75.77,86.36,65,95,7.49
133,Santa Vitoria Do Palmar,BR,2020-06-24 19:34:31,-33.52,-53.37,65.57,93,93,6.49
134,Upernavik,GL,2020-06-24 19:34:31,72.79,-56.15,33.96,91,100,1.54
135,Kushima,JP,2020-06-24 19:34:31,31.46,131.23,73.4,83,90,3.36
136,Hami,CN,2020-06-24 19:34:31,42.8,93.45,81.88,16,99,8.93
137,Saint-Philippe,RE,2020-06-24 19:34:31,-21.36,55.77,68.0,77,41,3.36
138,Guerrero Negro,MX,2020-06-24 19:34:31,27.98,-114.06,74.46,54,20,14.63
139,Fort Nelson,CA,2020-06-24 19:31:21,58.81,-122.7,69.8,30,75,4.7
140,Touros,BR,2020-06-24 19:34:31,-5.2,-35.46,78.8,74,100,6.93
141,Santa Maria,BR,2020-06-24 19:34:31,-29.68,-53.81,84.2,42,100,16.11
142,Nanortalik,GL,2020-06-24 19:34:31,60.14,-45.24,44.17,71,100,3.8
143,Sinnamary,GF,2020-06-24 19:34:32,5.38,-52.95,82.4,75,5,7.47
144,Esperance,AU,2020-06-24 19:34:32,-33.87,121.9,42.8,81,0,2.24
145,Irbeyskoye,RU,2020-06-24 19:34:32,55.64,95.45,60.6,88,79,3.13
146,Butaritari,KI,2020-06-24 19:34:32,3.07,172.79,83.41,75,88,10.49
147,Cayeli,TR,2020-06-24 19:34:32,41.09,40.73,72.45,66,1,4.74
148,Airai,TL,2020-06-24 19:34:32,-8.93,125.41,57.22,100,41,3.69
149,Jamestown,US,2020-06-24 19:34:32,42.1,-79.24,70.0,55,75,19.46
150,Silver City,US,2020-06-24 19:34:32,32.77,-108.28,90.0,20,1,15.05
151,Bethel,US,2020-06-24 19:34:32,41.37,-73.41,84.99,39,1,10.29
152,Nantucket,US,2020-06-24 19:30:36,41.28,-70.1,73.99,83,90,11.41
153,Khatanga,RU,2020-06-24 19:34:32,71.97,102.5,69.82,62,100,6.51
154,Paragominas,BR,2020-06-24 19:34:32,-2.97,-47.48,84.18,72,17,2.46
155,Stolbishche,RU,2020-06-24 19:34:32,55.65,49.22,53.6,46,2,13.42
156,Conceicao Do Araguaia,BR,2020-06-24 19:34:32,-8.26,-49.26,91.4,43,54,9.17
157,Lensk,RU,2020-06-24 19:34:32,60.73,114.93,54.0,88,10,1.48
158,Bandikui,IN,2020-06-24 19:34:33,27.05,76.57,85.59,64,100,2.42
159,Terenos,BR,2020-06-24 19:34:33,-20.44,-54.86,82.4,42,69,17.22
160,Laguna,US,2020-06-24 19:31:28,38.42,-121.42,87.01,42,1,4.7
161,Boende,CD,2020-06-24 19:34:33,-0.22,20.87,81.09,57,78,1.52
162,Geraldton,AU,2020-06-24 19:30:44,-28.77,114.6,57.2,76,0,8.05
163,Lavrentiya,RU,2020-06-24 19:34:33,65.58,-171.0,38.3,72,100,9.91
164,Mount Isa,AU,2020-06-24 19:34:33,-20.73,139.5,51.8,37,0,12.46
165,Walvis Bay,NA,2020-06-24 19:34:33,-22.96,14.51,68.0,42,0,1.12
166,Ilhabela,BR,2020-06-24 19:33:28,-23.78,-45.36,72.23,63,59,5.93
167,Soyo,AO,2020-06-24 19:34:33,-6.13,12.37,74.21,82,7,9.53
168,Sitka,US,2020-06-24 19:34:33,57.05,-135.33,51.8,76,90,9.17
