City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Liku,ID,2020-06-30 19:16:16,-0.73,119.89,74.05,82,56,2.73
104,Namtsy,RU,2020-06-30 19:16:17,62.72,129.67,62.6,51,0,8.95
105,Iqaluit,CA,2020-06-30 19:08:33,63.75,-68.51,41.0,75,75,5.82
106,Matsumoto,JP,2020-06-30 19:16:17,36.23,137.97,70.0,96,100,8.01
107,Fairbanks,US,2020-06-30 19:11:46,64.84,-147.72,57.0,62,90,11.41
108,Castro,BR,2020-06-30 19:11:52,-24.79,-50.01,63.14,82,100,19.17
109,Teknaf,BD,2020-06-30 19:16:17,20.86,92.31,81.46,85,100,4.03
110,Ahipara,NZ,2020-06-30 19:11:38,-35.17,173.17,51.89,77,0,10.56
111,Katsuura,JP,2020-06-30 19:12:02,35.13,140.3,78.01,94,75,19.46
112,Sakakah,SA,2020-06-30 19:16:17,29.97,40.21,87.8,12,0,4.7
113,Port Alfred,ZA,2020-06-30 19:11:56,-33.59,26.89,57.0,89,0,4.0
114,Clearlake,US,2020-06-30 19:12:05,38.96,-122.63,84.99,39,0,4.09
115,Buckeye,US,2020-06-30 19:16:18,33.37,-112.58,93.0,14,1,4.9
116,Maxixe,MZ,2020-06-30 19:16:19,-23.86,35.35,68.0,88,75,5.82
117,Mahebourg,MU,2020-06-30 19:11:43,-20.41,57.7,64.4,93,20,6.93
118,Lichinga,MZ,2020-06-30 19:16:19,-13.31,35.24,62.01,72,75,8.05
119,Belousovka,KZ,2020-06-30 19:16:19,50.13,82.52,64.4,63,75,2.24
120,Tuktoyaktuk,CA,2020-06-30 19:11:52,69.45,-133.04,59.0,72,90,2.24
121,Longyearbyen,SJ,2020-06-30 19:11:56,78.22,15.64,48.2,42,75,4.7
122,Tonantins,BR,2020-06-30 19:16:19,-2.87,-67.8,88.07,57,40,3.09
123,Volterra,IT,2020-06-30 19:16:19,43.4,10.86,78.01,42,0,5.01
124,Arraial Do Cabo,BR,2020-06-30 19:11:38,-22.97,-42.03,77.0,69,100,21.92
125,Asyut,EG,2020-06-30 19:16:19,27.18,31.18,89.6,21,0,12.75
126,Dormidontovka,RU,2020-06-30 19:16:19,47.77,134.91,57.65,93,0,4.18
127,Beringovskiy,RU,2020-06-30 19:14:30,63.05,179.32,41.22,97,100,7.07
128,Ajdabiya,LY,2020-06-30 19:16:20,30.76,20.23,74.52,73,0,13.0
129,Cockburn Town,TC,2020-06-30 19:11:21,21.46,-71.14,86.0,62,40,11.41
130,Komsomolskiy,UZ,2020-06-30 19:12:10,40.43,71.72,78.8,36,82,2.24
131,Belfast,GB,2020-06-30 19:16:20,54.58,-5.93,59.0,77,99,3.36
132,Saint George,US,2020-06-30 19:07:30,37.1,-113.58,78.8,11,1,3.36
133,Lazaro Cardenas,MX,2020-06-30 19:12:10,17.96,-102.2,87.21,60,25,10.11
134,Filadelfia,US,2020-06-30 19:14:13,39.95,-75.16,86.0,39,75,9.17
135,Isilkul,RU,2020-06-30 19:16:20,54.91,71.27,51.33,98,100,9.19
136,Mawlamyine,MM,2020-06-30 19:16:20,16.49,97.63,79.43,86,100,4.43
137,Mattru,SL,2020-06-30 19:16:21,7.62,-11.83,75.43,94,100,3.13
138,Baicheng,CN,2020-06-30 19:16:21,45.62,122.82,66.31,78,6,8.3
139,Merrill,US,2020-06-30 19:16:21,45.18,-89.68,86.0,58,75,9.17
140,Port Hardy,CA,2020-06-30 19:10:50,50.7,-127.42,55.4,76,90,11.41
141,Ust-Kuyga,RU,2020-06-30 19:16:22,70.02,135.6,59.43,42,24,3.65
142,Coquimbo,CL,2020-06-30 19:11:55,-29.95,-71.34,62.6,59,0,4.7
143,Hilo,US,2020-06-30 19:11:37,19.73,-155.09,82.4,65,40,5.82
144,Grand Gaube,MU,2020-06-30 19:16:22,-20.01,57.66,66.99,80,0,4.0
145,Tahta,EG,2020-06-30 19:16:22,26.77,31.5,91.4,16,0,9.17
146,Huruta,ET,2020-06-30 19:16:22,8.15,39.35,63.16,71,99,5.3
147,Vao,NC,2020-06-30 19:12:04,-22.67,167.48,68.05,66,0,17.16
148,Clyde River,CA,2020-06-30 19:14:36,70.47,-68.59,35.6,93,75,11.41
149,Dikson,RU,2020-06-30 19:11:39,73.51,80.55,45.46,83,100,6.67
150,Izmaylovo,RU,2020-06-30 19:16:22,53.72,47.25,48.34,90,0,3.47
151,Brigantine,US,2020-06-30 19:16:22,39.41,-74.36,80.6,57,75,8.05
152,Talakan,RU,2020-06-30 19:16:22,50.32,130.37,58.08,83,0,1.86
153,Thompson,CA,2020-06-30 19:12:15,55.74,-97.86,60.8,82,90,10.29
154,Vila Velha,BR,2020-06-30 19:11:45,-20.33,-40.29,75.0,78,40,3.36
155,Zhuhai,CN,2020-06-30 19:16:23,22.28,113.57,87.01,83,20,4.7
156,Hermanus,ZA,2020-06-30 19:11:38,-34.42,19.23,55.0,90,80,1.01
157,Nueva Loja,EC,2020-06-30 19:16:23,0.08,-76.88,89.78,48,31,2.39
158,Luderitz,NA,2020-06-30 19:11:47,-26.65,15.16,68.0,26,0,3.36
159,Isangel,VU,2020-06-30 19:11:42,-19.55,169.27,67.55,69,0,13.04
160,Tamandare,BR,2020-06-30 19:16:23,-8.76,-35.1,79.23,74,17,9.82
161,Amazar,RU,2020-06-30 19:16:23,53.86,120.88,62.53,54,84,4.12
162,Muros,ES,2020-06-30 19:15:07,42.78,-9.06,79.0,64,7,1.01
163,Norman Wells,CA,2020-06-30 19:11:37,65.28,-126.83,68.0,64,75,18.34
164,Kharp,RU,2020-06-30 19:16:23,66.8,65.81,40.01,80,2,8.95
165,Tuatapere,NZ,2020-06-30 19:12:09,-46.13,167.68,39.0,83,98,3.0
166,Saskylakh,RU,2020-06-30 19:11:36,71.92,114.08,78.76,37,100,7.81
167,Mutsu,JP,2020-06-30 19:16:23,41.29,141.22,64.99,100,90,5.82
168,Hasaki,JP,2020-06-30 19:08:45,35.73,140.83,78.8,88,75,12.75
169,Klaksvik,FO,2020-06-30 19:12:12,62.23,-6.59,50.0,66,100,9.17
170,Marsh Harbour,BS,2020-06-30 19:11:53,26.54,-77.06,86.54,60,0,9.44
171,Yulara,AU,2020-06-30 19:12:11,-25.24,130.99,44.6,42,0,3.36
172,Amurrio,ES,2020-06-30 19:16:24,43.05,-3.0,73.99,78,20,12.75
173,Roebourne,AU,2020-06-30 19:16:24,-20.78,117.13,70.88,46,100,3.87
